DAKOVICALEXIS;28/06/2015 03:52:07p.m.;159;3571;840355;;2323;597441
DAKOVICALEXIS;28/06/2015 04:28:53p.m.;84;3571;840355;;237;4601460
DAKOVICALEXIS;28/06/2015 05:02:22p.m.;22;3571;840355;;237;4626042
DAKOVICALEXIS;28/06/2015 05:02:32p.m.;24;3571;840355;;237;4626044
DAKOVICALEXIS;28/06/2015 05:27:07p.m.;38;3571;840355;;237;4626058
DAKOVICALEXIS;28/06/2015 05:30:05p.m.;280;3571;840355;;237;4633913
DAKOVICALEXIS;28/06/2015 06:07:52p.m.;22;3571;840355;;237;4852550
DAKOVICALEXIS;28/06/2015 06:08:28p.m.;51;3571;840355;;237;4853078
GARCIAALBERTO;28/06/2015 03:52:02p.m.;19;3571;810355;;2323;446044
GARCIAALBERTO;28/06/2015 04:27:51p.m.;22;3571;810355;;237;4601398
GARCIAALBERTO;28/06/2015 04:31:31p.m.;0;3571;810355;;237;4601376
GARCIAALBERTO;28/06/2015 04:37:13p.m.;24;3571;810355;;237;4601400
GARCIAALBERTO;28/06/2015 04:45:32p.m.;52;3571;810355;;237;4624601
GARCIAALBERTO;28/06/2015 04:50:50p.m.;0;3571;810355;;237;4626020
GARCIAALBERTO;28/06/2015 05:12:12p.m.;65;3571;810355;;237;4626085
GARCIAALBERTO;28/06/2015 05:17:05p.m.;41;3571;810355;;237;4626061
GARCIAALBERTO;28/06/2015 05:22:22p.m.;64;3571;810355;;237;4626084
GARCIAALBERTO;28/06/2015 05:36:42p.m.;44;3571;810355;;237;4811987
GARCIAALBERTO;28/06/2015 05:40:55p.m.;21;3571;810355;;237;4814908
GARCIAALBERTO;28/06/2015 05:46:24p.m.;103;3571;810355;;237;4815544
TEUBERALEJANDRO;28/06/2015 03:35:23p.m.;90;3571;280338;;2320;460236
TEUBERALEJANDRO;28/06/2015 03:43:26p.m.;64;3571;280338;;2320;629013
TEUBERALEJANDRO;28/06/2015 04:01:22p.m.;37;3571;280338;;3571;499286
TEUBERALEJANDRO;28/06/2015 04:12:37p.m.;29;3571;280338;;237;4057560
FALCONARIEL;28/06/2015 03:38:18p.m.;0;3572;370340;;2320;555890
FALCONARIEL;28/06/2015 03:40:20p.m.;298;3572;370340;;2320;629247
FALCONARIEL;28/06/2015 03:49:20p.m.;90;3572;370340;;2323;434065
FALCONARIEL;28/06/2015 03:51:36p.m.;100;3572;370340;;2323;434075
FALCONARIEL;28/06/2015 04:03:20p.m.;89;3572;370340;;236;4312478
FALCONARIEL;28/06/2015 04:05:40p.m.;154;3572;370340;;236;4312659
FALCONARIEL;28/06/2015 04:17:08p.m.;112;3572;370340;;237;4601488
FALCONARIEL;28/06/2015 04:23:10p.m.;101;3572;370340;;237;4601477
MENDEZALONSO;28/06/2015 03:36:56p.m.;144;3572;350340;;2320;472166
MENDEZALONSO;28/06/2015 03:45:25p.m.;90;3572;350340;;2323;433824
MENDEZALONSO;28/06/2015 03:52:28p.m.;29;3572;850357;;3572;499278
MENDEZALONSO;28/06/2015 04:02:02p.m.;135;3572;350340;;3572;470156
MENDEZALONSO;28/06/2015 04:16:31p.m.;101;3572;350340;;237;4296226
MENDEZALONSO;28/06/2015 04:30:37p.m.;30;3572;850357;;237;4601406
MENDEZALONSO;28/06/2015 05:02:52p.m.;275;3572;850357;;237;4626295
MENDEZALONSO;28/06/2015 05:04:55p.m.;27;3572;850357;;237;4626047
MENDEZALONSO;28/06/2015 05:30:58p.m.;22;3572;850357;;237;4665849
MENDEZALONSO;28/06/2015 05:31:14p.m.;42;3572;850357;;237;4685143
MENDEZALONSO;28/06/2015 06:09:21p.m.;137;3572;850357;;237;4853548
MENDEZALONSO;28/06/2015 06:12:47p.m.;9;3572;850357;;237;4874786
MORAANTONIO;28/06/2015 03:36:42p.m.;37;3572;340340;;2320;472059
MORAANTONIO;28/06/2015 03:44:53p.m.;90;3572;340340;;2323;433824
MORAANTONIO;28/06/2015 03:55:04p.m.;64;3572;880357;;3572;499313
MORAANTONIO;28/06/2015 04:01:38p.m.;132;3572;340340;;3572;442674
MORAANTONIO;28/06/2015 04:13:43p.m.;0;3572;340340;;237;4296125
MORAANTONIO;28/06/2015 04:30:44p.m.;10;3572;880357;;237;4601386
MORAANTONIO;28/06/2015 05:04:59p.m.;0;3572;880357;;237;4626020
MORAANTONIO;28/06/2015 05:09:26p.m.;31;3572;880357;;237;4626051
MORAANTONIO;28/06/2015 05:34:04p.m.;118;3572;880357;;237;4685902
MORAANTONIO;28/06/2015 05:35:46p.m.;0;3572;880357;;237;4692760
MORAANTONIO;28/06/2015 06:16:51p.m.;35;3572;880357;;237;4874812
MORAANTONIO;28/06/2015 06:21:54p.m.;34;3572;880357;;3572;474177
